["13113", "150  ", "1506022", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(22ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（２２階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1506023", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(23ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（２３階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1506024", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(24ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（２４階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1506025", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(25ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（２５階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1506026", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(26ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（２６階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1506027", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(27ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（２７階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1506028", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(28ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（２８階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1506029", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(29ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（２９階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1506030", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(30ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（３０階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1506031", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(31ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（３１階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1506032", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(32ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（３２階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1506033", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(33ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（３３階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1506034", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(34ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（３４階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1506035", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(35ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（３５階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1506036", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(36ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（３６階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1506037", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(37ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（３７階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1506038", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(38ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（３８階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1506039", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(39ｶｲ)", "東京都", "渋谷区", "恵比寿恵比寿ガーデンプレイス（３９階）", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1500021", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽﾆｼ", "東京都", "渋谷区", "恵比寿西", "0", "0", "1", "0", "0", "0"]
